id,question,proposed_answer,source_url,repo,file,method,score
docs-a7baa13da53b,How to create custom workflows with NOMAD entries,"<!-- The implementation of this how-to is in nomad-utility-workflows/tests/utils/workflow_yaml_examples/water_equilibration --> This how-to will walk you through how to use `nomad-utility-workflows` to generate the yaml file required to define a [custom workflow](https://nomad-lab.eu/prod/v1/docs/howto/customization/workflows.html){:target=""_blank""}.",https://github.com/FAIRmat-NFDI/nomad-utility-workflows,nomad-utility-workflows,create_custom_workflows.md,heading_qa,1.0
docs-20a6e9022564,How to map pieces of information to NeXus,"Conceptually, mapping between representations of concepts and instance data is a key tasks in information science. The plugin pynxtools-apm implements this specifically for the file and serialization formats used within the research field of atom probe tomography. The plugin offloads this code from eventually other software where NeXus is used to avoid that every user and software developer has to make individual changes in their own tools. Technically, instance data representing concepts within the realm of one ontology, or a semantic file format like NeXus, are considered the source (`src`). Source data are mapped on instance data representing a concept in NeXus as the target (`trg`). This mapping is only performed by pynxtools-apm, if `src` and `trg` can be transformed such that `src` and `trg` are connected via a relationship such as `is_equivalent` or `same_as` relationship. A transformation can be as simple as that an instance `src` has an elementary data type (e.g. a string or a single-precision floating point value) that is copied into an instance `trg` using the same data type. In practice, though the situation is more complex such that the mapping demands further normalization or processing. One example is when `src` represents a tilt angle with unit radiants used at the `src` side but `trg` requires that this value should be stored in degrees and maybe even promoted from single precision to double precision. In this case, the transformation is composed of a copy, a multiplication, and value promoting of the value that was read from `src`, convert from radiants to degrees, and is finally returned as value behind `trg`. Such transformations are configured via the respective files in the *config* directory of pynxtools-apm. Upon parsing, it is the set of functions in *mapping_functor.py* which implements the actual transformations by reading the configuration and returning the properly formatted and transformed target to successively fill the `template` dictionary variable. The name functor is used because mapping may demand to use not only a copy or data type conversion as it was explained. It is this *template* variable from which core functions like *convert.py* of the pynxtools write the actual NeXus/HDF5 file. The latter tool is also referred to as the dataconverter of [pynxtools](https://github.com/FAIRmat-NFDI/pynxtools).",https://github.com/FAIRmat-NFDI/pynxtools-apm,pynxtools-apm,contextualization.md,heading_qa,1.0
docs-7feefd85694f,What should you know before this tutorial?,- You should have a basic understanding of [FAIRmat NeXus](https://github.com/FAIRmat/nexus_definitions) and [pynxtools](https://github.com/FAIRmat/pynxtools) - You should have a basic understanding of using Python and Jupyter notebooks via [JupyterLab](https://jupyter.org),https://github.com/FAIRmat-NFDI/pynxtools-apm,pynxtools-apm,standalone.md,heading_qa,1.0
docs-4cf7472f35ba,What should you should know before this tutorial?,- You should have a basic understanding of [FAIRmat NeXus](https://github.com/FAIRmat/nexus_definitions) and [pynxtools](https://github.com/FAIRmat/pynxtools) - You should have a basic understanding of using Python and Jupyter notebooks via [JupyterLab](https://jupyter.org),https://github.com/FAIRmat-NFDI/pynxtools-igor,pynxtools-igor,standalone.md,heading_qa,1.0
docs-0f56203783b9,What else is required for the data conversion?,"Lets take a look at the command, to convert the data for the WITec instrument: The indiviual commands are explained [here](../how-tos/convert_data.md). Aside from telling the program which NeXus definition you want to use (`NXraman`) and what reader for the dataconverion to use (`raman`), you have to:",https://github.com/FAIRmat-NFDI/pynxtools-raman,pynxtools-raman,adjust_config_file.md,heading_qa,1.0
docs-8c2184612b79,How to Contribute or Extend the Reader Functionality,"If you want to add the different versions of the `Nanonis Generic` model for `STM` experiment, please check the `STM_Nanonis` class for `STM` experiment, which parses the data into a python dict of slash (`/`) separated key-value pair (see the right part of the config file). The class uses the `nanonispy` sub-package to read the `sxm` type file. That should also be checked and modified (if needed). If you add different versions of the `Nanonis Generic` model for `STS` experiment, please check the `BiasSpecData_Nanonis` class for `STS` experiment. The class reads the raw data from the raw files into a dict of slash separated key-value pair (see the config file). If you go for a completely different model (e.g., from a different brand), please handle it in a new module with different functions and classes.",https://github.com/FAIRmat-NFDI/pynxtools-spm,pynxtools-spm,how_to_guide.md,heading_qa,1.0
docs-b9e7df91dc7a,How to Create Catalysis Entries,"To create one or more entries in NOMAD through the browser, the user first has to navigate to the “PUBLISH” tab, log into their account (if applicable), then click “CREATE A NEW UPLOAD”. Here, there are 4 main ways to create catalysis entries in the NOMAD / NOMAD Oasis: - using the catalysis parser functionality - manually via the graphical user interface (GUI) - dropping archive.json files directly in an upload - using the tabular parser, for creating more customized entries and when the data has already been collected in csv or xlsx files First I will detail how to create entries and explain the structure of the schemas. Later I will add how to add larger datasets more quickly.",https://github.com/FAIRmat-NFDI/nomad-catalysis-plugin,nomad-catalysis-plugin,use_this_plugin.md,heading_qa,0.95
docs-e6f41bf7105b,How to write a YAML schema package,"This guide explains how to write and upload NOMAD schema packages in the YAML format that can be uploaded as part of your data. This is a good way to start out experimenting with custom data structures in NOMAD, but for more advanced use cases you may need to use [Python schema packages](../plugins/schema_packages.md). For more information on how an archive file is composed, visit [Explanation > Data structure](../../explanation/data.md).",https://github.com/FAIRmat-NFDI/nomad-docs,nomad-docs,basics.md,heading_qa,0.95
docs-f311060a1233,How to update the gh-page version with mike,"After all relevant changes are merged into main branch, follow these instructions for proper display of version toggle: 1. Reset local gh-pages branch: 2. Checkout and push all older versions to be displayed in the toggle, updating their aliases:",https://github.com/FAIRmat-NFDI/nomad-tutorial-workflows,nomad-tutorial-workflows,README.md,heading_qa,0.95
docs-eef3fd7a27b8,How to install `pynxtools-ellips` with NOMAD,"To use `pynxtools-ellips` with NOMAD, simply install it in the same environment as the `nomad-lab` package. NOMAD will recognize `pynxtools` and `pynxtools-ellips` as plugins automatically.",https://github.com/FAIRmat-NFDI/pynxtools-ellips,pynxtools-ellips,installation.md,heading_qa,0.95
docs-f7ca9c418665,How to ingest different information sources,pynxtools-em provides a set of parsers that standardize diverse content stored from several proprietary and open-source data models into NeXus. The tool needs to serve different methods how information should be combined given that in reality a single source of information like an ELN or a file format does not necessarily store all pieces of information which one may have serialized using NeXus. For this reason pynxtools-em uses supplementary text files for now which exemplify how information missing in one serialization format can be supplemented and ingested during the parsing. This part of the documentation lists these file formats. <!--**Write.NXem.Example.1.ipynb** provides an example how the pynxtools-em parser can be used as a standalone tool for converting data and metadata from different sources into an HDF5 file that follows the NeXus application definition NXem.--> **nxem.schema.archive.yaml** is a YAML file representing a custom NOMAD Oasis ELN schema whereby users can collect metadata which are typically not stored in files provided by technology partners.,https://github.com/FAIRmat-NFDI/pynxtools-em,pynxtools-em,examples.md,heading_qa,0.95
docs-94e9a8db9f39,How to Use the SPM Reader,"!!! danger ""Work in progress"" <!-- ## How To Install the STM Reader The STM reader can be installed as a python package from PyPI. We recommend to install the reader in a python virtual environment.",https://github.com/FAIRmat-NFDI/pynxtools-spm,pynxtools-spm,how-to-interact-with-reader.md,heading_qa,0.95
docs-57973e22534f,How to Run the Reader from CLI,"In the command line interface, input files can be passed as positional arguments. Other arguments like the `reader` and the `nxdl` shall be given as keyword arguments.",https://github.com/FAIRmat-NFDI/pynxtools-spm,pynxtools-spm,how-to-interact-with-reader.md,heading_qa,0.95
docs-4ae3ffc3d4fb,should take ~2 min,"exclusion_block = (1, 1) # for removing self-distance rdf = MDA_RDF.InterRDF( BG_HEX, BG_HEX, range=(0, max_rdf_dist), exclusion_block=exclusion_block, nbins=n_bins).run( rdf_start, rdf_end, n_prune) rdf.results.bins = rdf.results.bins[int(n_smooth / 2):-int(n_smooth / 2)] rdf.results.rdf = np.convolve( rdf.results.rdf, np.ones((n_smooth,)) / n_smooth, mode='same')[int(n_smooth / 2):-int(n_smooth / 2)] fig = plt.figure(figsize=(8,4)) plt.plot(bins, rdf_HEX_HEX.value, label='NOMAD archive', color='k', lw=2) plt.plot(rdf.results.bins, rdf.results.rdf, label='MDAnalysis', linestyle='--', color='r', lw=2)",https://github.com/FAIRmat-NFDI/AreaC-Tutorial-CECAM-2023,AreaC-Tutorial-CECAM-2023,Tutorial-3_Extracting_Data_and_Trajectory_Analysis.md,heading_qa,0.9
docs-600d56aa86f0,What you will learn,"- Connect NOMAD entries into a directed graph structure - Create hierarchical workflow graphs - Link task nodes to supported and custom entries (e.g., ELN entries) - Link inputs and outputs to annotated files - Navigate workflows using NOMAD's interactive workflow graphs",https://github.com/FAIRmat-NFDI/nomad-docs,nomad-docs,workflows.md,heading_qa,0.9
docs-83edd1114f71,How to install this plugin,This plugin can be used in a NOMAD Oasis installation. Please visit the NOMAD documentation for details on [how to setup an NOMAD Oasis](https://nomad-lab.eu/prod/v1/staging/docs/howto/oasis/install.html).,https://github.com/FAIRmat-NFDI/nomad-material-processing,nomad-material-processing,install.md,heading_qa,0.9
docs-112e91b299d0,How to cite this work,"Rudzinski, J.F., Albino, A., Bereau, T., Daelman, N., Ladines, A.N., Mohr, B., Pedersen, J., Walter, L.J., NOMAD Utility Workflows (all versions) [Computer software]. https://zenodo.org/doi/10.5281/zenodo.14895189",https://github.com/FAIRmat-NFDI/nomad-utility-workflows,nomad-utility-workflows,README.md,heading_qa,0.9
docs-e3719b408981,How To Install the STM Reader,The STM reader can be installed as a python package from PyPI. We recommend to install the reader in a python virtual environment.,https://github.com/FAIRmat-NFDI/pynxtools-stm,pynxtools-stm,how-to-interact-with-reader.md,heading_qa,0.85
