keep,question,proposed_answer,source_url,title,section,method,score,id
yes,What is a terminal?,"A terminal, also known as a Command Line Interface (CLI), is a text-based tool that allows you to interact directly with your operating system using text commands. It allows execution of programs and direct management of files and processes. Different operating systems provide distinct types of terminals: Linux : The default terminal is usually named ""Terminal"" and typically runs the Bash shell, widely used in Linux environments. macOS : The terminal is also called ""Terminal"" or in inewer versions zsh , and generally uses Bash as well. Windows : Includes Command Prompt and PowerShell , which differ from Bash. While CLI commands vary across these operating systems, many fundamental tasks remain similar. In this tutorial, you see a few instances of bash commands. For some further information about ""terminal,"" ""console,"" ""shell,"" and ""command line,"" you can read here .",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_1_getting_started/M4_1_0_getting_started.html#setting-up-your-programming-environment,Programming Environments,Setting up your programming environment¶,faq_block,0.9,6b961f94008adf8f
yes,What is an API Client?,"API clients are tools, libraries, or software that enable interaction with APIs. Each type serves specific purposes, from quick testing to developing full-scale applications. Here are some common types: Command-line tools like cURL are lightweight and flexible, ideal for testing and debugging APIs. Programming libraries such as Python's requests allow to integrate API calls into analysis applications and automation programmatically. Software like web browsers (e.g., Chrome, Firefox) or Postman provide user-friendly interfaces for exploring and interacting with APIs.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_1_getting_started/M4_1_3_api_basics.html#what-is-api,API Basics,What is API?¶,faq_block,0.85,eb2d1e69c268fec3
yes,What are different types of APIs?,"APIs connect systems, and their types differ to meet diverse functionality and performance demands. Here are the 3 widely used ones. REST (Representational State Transfer) : The most commonly used API for web-hosted services, relying on HTTP methods and data formats like JSON (e.g., NOMAD). GraphQL : A flexible API type that allows clients to request only the data they need, reducing inefficiencies (e.g., GitHub). Webhooks : Event-driven APIs that send real-time updates to clients when specific events occur (e.g., Discord, PayPal).",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_1_getting_started/M4_1_3_api_basics.html#what-is-api,API Basics,What is API?¶,faq_block,0.85,648162caa780f036
yes,What is HTTP?,"HTTP, or Hypertext Transfer Protocol, is a standardized set of rules for exchanging data over the web. It enables communication between clients (like browsers or applications) and servers, allowing requests for and delivery of resources such as webpages, images, or data. When you enter a website address (URL) into your browser, the browser sends an HTTP request to the server hosting that site. The server processes the request and responds with the required data, which the browser then renders for you to interact with. HTTP is not just for web browsing—it also forms the foundation for APIs, enabling communication and data exchange between systems. The most frequently used HTTP methods for interacting with resources are: GET : Retrieves data from a server. Commonly used to fetch webpages or resources. POST : Sends data to the server to create a new resource. DELETE : Removes a resource from the server at a specified URL. PUT : Updates an existing resource or creates a new one if it doesn’t exist.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_1_getting_started/M4_1_3_api_basics.html#what-is-api,API Basics,What is API?¶,faq_block,0.9,5ce7c81013f9325b
yes,What is API?,"An API, Application Programming Interface, is a set of rules and protocols that allows different software programs or hardware to communicate with each other, facilitating communication and data exchange between them. APIs are widely used across various systems, including web-based services, database systems, operating systems, and even hardware interactions. In the context of this tutorial, we focus on APIs used for web-based interactions, such as those employed by NOMAD to facilitate data access and management. The User : Initiates requests, typically through a client application. The Client : A software that formats and sends the user’s requests according to the API's rules. The Server : A system that processes requests and provides the appropriate responses, often hosting the API.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_1_getting_started/M4_1_3_api_basics.html#what-is-api,API Basics,What is API?¶,heading_q,0.75,7b8b6ab7c9506f1d
yes,What is an API endpoint?,"An API endpoint is a specific URL that acts as an entry point to interact with a particular resource or service provided by an API. Endpoints define where requests should be sent and what actions can be performed. For example, in NOMAD's API, each resource is associated with specific endpoints that allow you to retrieve, create, update, or delete data. The NOMAD API Dashboard highlights these endpoints and the types of requests they support:",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_1_getting_started/M4_1_3_api_basics.html#what-is-the-general-api-workflow,API Basics,What is the general API workflow?¶,faq_block,0.9,87f5a6d9caa75365
yes,What are HTTP status codes?,"These codes can help you diagnose and address issues with your requests by indicating whether the request was successful or if an error occurred. Here are the main status codes you might receive from NOMAD API and how to address errors in case of a failure: Response Code Description Common Causes Suggested Action 200 Successful Response Correct request execution None needed 400 Bad Request Syntax errors, invalid arguments Fix syntax and parameters 401 Unauthorized Invalid credentials Verify credentials 404 Not Found Incorrect URL, missing resource Check URL and resource 422 Validation Error Semantic errors in data Adjust data to API documentation",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_1_getting_started/M4_1_3_api_basics.html#what-is-the-general-api-workflow,API Basics,What is the general API workflow?¶,faq_block,0.9,78895cc965566691
yes,What is the general API workflow?,"1. It all starts with creating a request: API requests are prepared by the user and sent to the server through the client. A request typically includes the following elements: HTTP Method : Specifies the action to be performed (e.g., GET, POST, DELETE). Endpoint : The URL of the resource or service on the srver. Headers : Provide metadata, such as authentication tokens or content type. Body : Contains the data required for actions like creating or updating resources.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_1_getting_started/M4_1_3_api_basics.html#what-is-the-general-api-workflow,API Basics,What is the general API workflow?¶,heading_q,0.7,765e9e56bcbce49c
yes,What is a serialization language?,"A serialization language is a way to convert complex data structures, like objects or lists, into another format that can be readily stored or transmitted. This format can then be used to recreate the original data structure later. Common examples include JSON, XML, and YAML, which turn data into a text format that can be shared between different systems or saved for later use.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module3/6_ELN_using_custom_schema/M3_4_1_ground_guidelines.html,Guidlines for Building a Custom ELN Schema¶,Guidlines for Building a Custom ELN Schema¶,faq_block,0.85,410744e57792e345
yes,What is meant by instantiation?,"""Instantiation"" means creating a specific instance of something based on a general definition or template. For example, in programming or data management, if you have a general template (like a class or section), instantiating it means creating a real, usable object or entity from that template with specific values or attributes.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module3/6_ELN_using_custom_schema/M3_4_1_ground_guidelines.html,Guidlines for Building a Custom ELN Schema¶,Guidlines for Building a Custom ELN Schema¶,faq_block,0.9,3bf2acb6562b200e
yes,What is a parser in NOMAD?,"Think of it as a specialized tool in the NOMAD toolkit. Parsers are small programs designed to take a file as input and produce processed data. They play a crucial role in transforming information from various source formats into NOMAD's structured, schema-based format. Each parser is tailored to a specific file format and is designed to handle data files of that format. In addition, the parsers are able to navigate through multiple files, such as those referenced in the main file, to ensure comprehensive data processing.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module3/6_ELN_using_custom_schema/M3_4_3_measurement_data.html#file-handling-in-nomad,Adding Characterization Data Files to Your NOMAD ELN¶,File Handling in NOMAD¶,faq_block,0.9,3c219914a9a599cc
no,What is Next?,"In the following sections, we will apply these general procedures to create entries for a sample ELN focused on the solution processing of organic materials. As we work through this example, we'll explore the various built-in schemas and the specific quantities they provide for ""input"".",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module3/5_ELN_using_built-in_schema/M3_2_1_creating_entries_built-in_schema.html#what-is-next,Creating NOMAD Entries Using the ELN Built-in ELN Schemas¶,What is Next?¶,heading_q,0.75,cfea05213bc9c2f5
yes,What are Use Cases?,"Use cases in NOMAD refer to predefined categories of data that have been uploaded to NOMAD according to specifically designed schemas to meet the needs of a target research community. These categories are designed to help researchers quickly locate data that is most relevant to their field of study, without the need to explore large amounts of unrelated data. The schemas for use cases have been carefully and meticulously designed by domain experts in FAIRmat in tight collaboration with PIs in that specific field coming from a global research community.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module2/M2_x_explore_use_cases.html#what-are-use-cases,Exploring Data through Use Cases (Apps) in NOMAD¶,What are Use Cases?¶,heading_q,0.7,c8f5899500ad2a22
yes,How to Explore Data Using the USE CASES Page?,"The USE CASES page in the EXPLORE menu is designed to facilitate exploring data in that specific field. Once you choose a use case, a predefined dashboard containing various important widgets which offer key information and visualizations to explore and analyze the data (that comply with that use case schema) is presented. Each research topic may have details and intricacies that the predefined dashboard does not address. However, NOMAD offers high flexibility, allowing you to edit the dashboard to meet your needs or add your own visualizations.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module2/M2_x_explore_use_cases.html#how-to-explore-data-using-the-use-cases-page,Exploring Data through Use Cases (Apps) in NOMAD¶,How to Explore Data Using the USE CASES Page¶,heading_q,0.7,6ce34927400c6df4
yes,What are Entries in NOMAD?,"Entries are individual simulations, workflows, or measurements that have been uploaded to NOMAD. Each entry contains detailed metadata, making it possible to be searched,analyzed, and reused.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module2/M2_x_explore_tab.html#explore-nomad-using-entries,Explore Data in NOMAD¶,Explore NOMAD Using Entries¶,faq_block,0.65,3dca5f5422b16da0
no,Do you think a bandgap filter exist?,How will you find out if there is a filter for bandgap of materials in NOMAD? Does it give the bandgap value or the direct/indirect characteristic?,https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module2/M2_x_explore_tab.html#the-search-bar,Explore Data in NOMAD¶,The Search Bar¶,faq_block,0.65,f3d541f6bd50be2a
yes,What is a Mainfile?,"Each entry has one raw file that defines it, referred to as the mainfile . Typically, most, if not all, processed data of an entry is derived from this mainfile.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module2/M2_x_inspecting_entry_pages.html#raw-and-processed-data-in-the-files-and-data-tabs,Exploring Uploaded Data in NOMAD¶,Raw and Processed Data in the FILES and DATA Tabs¶,faq_block,0.65,3d9b1c4e391dc6af
yes,What is an Upload in NOMAD?,"An upload helps you organize your files. Think of an upload as a project folder: you can include multiple files and organize them into directories and subdirectories. The files in an upload are called raw files . NOMAD never modifies raw files; you can always access, add, remove, or reorganize them as needed.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module2/M2_x_upload_data.html#uploading-your-files,Uploading Data to NOMAD¶,Uploading Your Files¶,faq_block,0.85,1d8e83f569e2177b
yes,Which Raw Files are Recognized by NOMAD?,"NOMAD supports a variety of raw file formats through built-in parsers that convert raw files into a common data format. The full list of supported formats can be found on the ABOUT > Information page of the NOMAD GUI, or by visiting this link . For additional file formats, NOMAD can be customized by adding new parsers. This is done using plug-ins , which are Python packages that can be installed into a local NOMAD Oasis. More details on creating and adding parsers are available in the How to Write a Parser guide .",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module2/M2_x_upload_data.html#what-happens-after-uploading-a-file-to-nomad,Uploading Data to NOMAD¶,What Happens after Uploading a File to NOMAD?¶,faq_block,0.85,2e6e8983b57ecc4c
yes,What Happens after Uploading a File to NOMAD?,"Two scenarios can occur based on whether NOMAD recognizes your raw file(s): If NOMAD does not recognize the file(s) , it acts as simple storage. You can preview common formats such as .txt , .csv , .pdf , .png , .jpg , and .tiff . Proprietary formats like .xlsx and .docx cannot be previewed. If NOMAD recognizes the file , meaning that a built-in parser exists for the file you uploaded, the file will be processed according to a data schemas. It means that NOMAD reads the file, extracts data and organizes them based on the data schema which allows for generating visualizations, and analysis automations. This is common for simulation files since they follow standardized structures. Also a variety of experimental data organized in NeXus format ( .nxs format), are recognized by NOMAD.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module2/M2_x_upload_data.html#what-happens-after-uploading-a-file-to-nomad,Uploading Data to NOMAD¶,What Happens after Uploading a File to NOMAD?¶,heading_q,0.7,a2942a70a450872e
yes,What are structured data?,"Structured data refers to information that is organized and formatted in a way that makes it easily searchable, understandable, and usable by both humans and machines . It typically adheres to a predefined model or schema, which dictates how the data is arranged—such as in tables, rows, and columns in a database, or within specific fields in a file format like XML, JSON or HDF5.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module1/M1_2_NOMAD_workflow.html,NOMAD Structures Your Research Data¶,NOMAD Structures Your Research Data¶,faq_block,0.85,c9b2acba0f583e2a
yes,What are the FAIR Principles?,"The FAIR principles, introduced by Wilkinson et al. in 2016 , outline a framework for making research data more Findable, Accessible, Interoperable, and Reusable (FAIR). These principles emphasize the importance of improving data management to maximize the value of data in research. Findable : Data should be easy to locate, both by humans and machines, using persistent identifiers and descriptive metadata. This includes making data searchable in registries or repositories with unique identifiers. Accessible : Data and metadata should be retrievable by identifiers using standard protocols that are open and free to ensure widespread access. While not all data must be openly available, clear accessibility conditions should be provided. Interoperable : To integrate with other datasets or tools, data should use standard formats and vocabularies, facilitating cross-domain data usage and interoperability. Reusable : Data should have clear and accessible licenses, detailed provenance, and should be well-described to enable reuse in different contexts and by different communities. Together, these principles help ensure that data can be found, accessed, combined, and reused effectively across different projects and disciplines. Embracing FAIR doesn’t just make data management smoother—it opens doors to collaboration, accelerates discovery, and gives your data a meaningful, extended life in the research community!",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module1/M1_1_RDM_with_NOMAD.html#towards-fair-research-data-with-nomad,Research Data Management with NOMAD¶,Towards FAIR Research Data with NOMAD¶,faq_block,0.85,4f6ae55b1b23ac7e
yes,What are Base Sections?,"Base sections are reusable building blocks in NOMAD's data model. The top-most parent base section, which is called BaseSection , provides a set of four global quantities for basic information about entries: Both the Entity and Activity base sections, inherit these four global quantities from BaseSection . name : A short human readable and descriptive name. datetime : The date and time associated with this section. lab_id : An ID string that is unique at least for the lab that produced this data. description : Any information that cannot be captured in the other fields.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module1/M1_3_NOMAD_datamodel.html#what-are-base-sections,NOMAD Data Model¶,What are Base Sections?¶,heading_q,0.75,e831d9568d9fcc0f
yes,What are Entities?,"Entities are objects that persist over time while maintaining their identity. In NOMAD, the Entity base section is composed of the three sections System , Collection , and Instrument . System : Represents any material system, from atomic to device scale. It includes properties like elemental composition, which tracks the elements and their atomic fractions within the system. CompositeSystem and PureSubstance are two sections that inherit from the System base section. Collection : Used to group entities together, such as a batch of substrates. Instrument : Describes tools used for material processing or characterization.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module1/M1_3_NOMAD_datamodel.html#what-are-entities,NOMAD Data Model¶,What are Entities?¶,heading_q,0.7,857e99d00cbcca16
yes,What are Activities?,"Activities are actions that occur over time and depend on some entity. The Activity section is subclassed by Process , Measurement , Analysis , and Experiment sections. These subclasses are intended to cover all types of activities and should be used instead of inheriting directly from Activity base section. Please note, all sections mentioned here are base sections that inherit from either Entity or Activity , which are themselves subclasses of BaseSection . Process : Represents a planned process that results in physical changes to a specific material, such as sample preparation or material transformation. Measurement : A planned process aimed at producing information about the material entity. Analysis : Involves data processing and analysis, producing output data from input data. Experiment : Groups activities together, useful for organizing multiple samples or processes under a single experimental framework.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module1/M1_3_NOMAD_datamodel.html#what-are-activities,NOMAD Data Model¶,What are Activities?¶,heading_q,0.7,00d4ad5191d7f249
